epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5945.42,0.85132,0.64852,1.08147,0.89024,0.73731,0.85057,0.4565,1.43792,1.33577,1.59126,0.0003235,0.0003235,0.0003235
43,6083.43,0.82162,0.62866,1.07941,0.87562,0.72851,0.84529,0.46053,1.42841,1.29086,1.54763,0.000307,0.000307,0.000307
44,6222.36,0.87983,0.6741,1.10976,0.84561,0.70513,0.84625,0.47318,1.43358,1.23485,1.55499,0.0002905,0.0002905,0.0002905
45,6362.39,0.83,0.62148,1.05755,0.88958,0.75808,0.92814,0.50321,1.40829,1.16009,1.55205,0.000274,0.000274,0.000274
46,6501.6,0.81387,0.61338,1.04222,0.83437,0.85338,0.9531,0.52726,1.41733,1.09861,1.57009,0.0002575,0.0002575,0.0002575
47,6643.31,0.85768,0.62863,1.13108,0.84345,0.81409,0.95883,0.53144,1.42754,1.06366,1.58536,0.000241,0.000241,0.000241
48,6783.56,0.8117,0.61181,1.05107,0.86627,0.78615,0.94694,0.5312,1.46412,1.17378,1.59734,0.0002245,0.0002245,0.0002245
49,6924.51,0.77225,0.61115,1.05031,0.72385,0.93989,0.91411,0.52201,1.4707,1.17785,1.57713,0.000208,0.000208,0.000208
50,7064.26,0.82052,0.63829,1.10451,0.7175,0.94754,0.9223,0.50041,1.4754,1.13292,1.55337,0.0001915,0.0001915,0.0001915
51,7207.98,0.7847,0.58946,1.0563,0.7824,0.87596,0.95315,0.52283,1.448,1.09612,1.5266,0.000175,0.000175,0.000175
52,7349.87,0.74843,0.57387,0.99702,0.88427,0.80952,0.96911,0.54077,1.47799,1.11231,1.61472,0.0001585,0.0001585,0.0001585
53,7492.03,0.67346,0.50043,0.97597,0.8909,0.82679,0.95857,0.52856,1.48483,1.11414,1.62625,0.000142,0.000142,0.000142
54,7635.43,0.77039,0.50903,1.01913,0.89401,0.79584,0.95476,0.52361,1.50766,1.10069,1.65663,0.0001255,0.0001255,0.0001255
55,7779.09,0.629,0.46739,0.9519,0.89595,0.78,0.94101,0.4998,1.52368,1.07908,1.68983,0.000109,0.000109,0.000109
56,7920.94,0.6923,0.48618,1.00429,0.81323,0.83605,0.94935,0.50978,1.52422,0.99452,1.66174,9.25e-05,9.25e-05,9.25e-05
57,8062.6,0.64595,0.45072,0.95088,0.83116,0.81705,0.93748,0.49981,1.5055,0.95836,1.63863,7.6e-05,7.6e-05,7.6e-05
58,8199.94,0.61827,0.48853,0.94541,0.82813,0.83337,0.92796,0.50829,1.48332,0.95113,1.61407,5.95e-05,5.95e-05,5.95e-05
59,8343.3,0.64617,0.50499,0.96776,0.83008,0.86005,0.92498,0.51039,1.47726,0.92923,1.6069,4.3e-05,4.3e-05,4.3e-05
60,8485.66,0.65478,0.48082,0.97377,0.76691,0.94625,0.9356,0.51656,1.47827,0.92854,1.61274,2.65e-05,2.65e-05,2.65e-05
